"pos","neu","neg","datemonth"
"272","373","180","2023-06-26"
"2782","3500","3543","2023-06-27"
"3189","4752","3200","2023-06-28"
"145","1065","280","2023-06-29"
"173","325","1591","2023-07-01"
"1086","3527","5030","2023-07-02"
"5160","4396","1923","2023-07-03"
"3598","3845","2422","2023-07-04"
"3848","5856","2694","2023-07-05"
"140","182","104","2023-07-06"
"2515","3815","3811","2023-07-10"
"2294","4154","3184","2023-07-11"
"2624","4894","4374","2023-07-12"
"68","123","94","2023-07-13"
"340","1700","749","2023-07-16"
"2117","7551","2395","2023-07-17"
"2403","6370","2044","2023-07-18"
"2287","6100","2870","2023-07-19"
"71","173","80","2023-07-20"
"614","2119","1864","2023-07-23"
"1514","5113","2127","2023-07-24"
"1300","3020","1549","2023-07-25"
"1232","4264","1558","2023-07-26"
"35","111","80","2023-07-27"
"2267","4046","3808","2023-07-31"
"2405","3692","1835","2023-08-01"
"2193","4746","1639","2023-08-02"
"63","112","44","2023-08-03"
"206","394","383","2023-08-06"
"1463","3891","1846","2023-08-07"
"1861","3519","1300","2023-08-08"
"1991","6551","2441","2023-08-09"
"92","320","192","2023-08-10"
"2024","2369","4104","2023-08-14"
"2325","3370","5157","2023-08-15"
"1551","5496","2291","2023-08-16"
"31","219","63","2023-08-17"
"346","820","294","2023-08-20"
"1761","4291","1514","2023-08-21"
"2029","3988","2207","2023-08-22"
"2334","4009","2499","2023-08-23"
"47","142","69","2023-08-24"
"803","1638","793","2023-08-27"
"1700","3460","1300","2023-08-28"
"2571","3823","1459","2023-08-29"
"1581","3489","1371","2023-08-30"
"49","217","46","2023-08-31"
"520","1760","749","2023-09-03"
"3090","4816","2600","2023-09-04"
"2822","5464","3323","2023-09-05"
"2141","5177","2830","2023-09-06"
"70","150","88","2023-09-07"
"2361","2708","2556","2023-09-11"
"3784","5921","6081","2023-09-12"
"3406","4845","6472","2023-09-13"
"138","129","199","2023-09-14"
"911","2272","944","2023-09-18"
"3227","4817","3681","2023-09-19"
"4697","11048","8187","2023-09-20"
"183","216","267","2023-09-21"
"401","986","607","2023-09-24"
"2539","4022","2225","2023-09-25"
"3640","5831","2482","2023-09-26"
"2835","7041","3306","2023-09-27"
"85","333","217","2023-09-28"
"40","678","126","2023-10-01"
"2419","15830","4759","2023-10-02"
"3915","9411","7291","2023-10-03"
"192","362","277","2023-10-04"
"1102","1487","828","2023-10-07"
"1675","3033","3229","2023-10-08"
"1995","4330","4210","2023-10-09"
